0.000001
0.948836,0.051164
0.968547,0.031453
0.951856,0.048144
0.972125,0.027875
0.932096,0.067904
0.921291,0.078709
0.914653,0.085347
0.949510,0.050490
0.940997,0.059003
0.573250,0.426750
0.961453,0.038547
0.983446,0.016554
0.951722,0.048278
0.781501,0.218499
0.967115,0.032885
0.950023,0.049977
0.724758,0.275242
0.959481,0.040519
0.927769,0.072231,
0.226315,0.773685,
0.896247,0.103753,
0.948249,0.051751,
0.875677,0.124323,
0.905913,0.094087,
0.925355,0.074645,
0.824223,0.175777,
0.937210,0.062790,
0.982790,0.017210,
0.942252,0.057748,
0.616219,0.383781,
0.968372,0.031628,
0.971496,0.028504,
0.604584,0.395416,
0.959182,0.040818,
0.951191,0.048809,
0.975036,0.024964,
0.956090,0.043910,
0.951295,0.048705,
0.313300,0.686700,
0.981799,0.018201,
0.947088,0.052912,
0.972429,0.027571,
0.431259,0.568741,
0.950463,0.049537,
0.515687,0.484313,
0.964925,0.035075,
0.853193,0.146807,
0.957637,0.042363,
0.979194,0.020806,
0.912271,0.087729,
0.961211,0.038789,
0.911438,0.088562,
0.917716,0.082284,
0.976417,0.023583,
0.940154,0.059846,
0.946188,0.053812,
0.941435,0.058565,
0.947468,0.052532,
0.964646,0.035354,
0.790167,0.209833,
0.719869,0.280131,
0.975511,0.024489,
0.938187,0.061813,
0.966737,0.033263,
0.260724,0.739276,
0.922507,0.077493,
0.922552,0.077448,
0.975840,0.024160,
0.962495,0.037505,
0.964730,0.035270,
0.870214,0.129786,
0.988038,0.011962,
0.980079,0.019921,
0.956394,0.043606,
0.972900,0.027100,
0.966130,0.033870,
0.980240,0.019760,
0.961213,0.038787,
0.961116,0.038884,
0.930972,0.069028,
0.969967,0.030033,
0.977195,0.022805,
0.917259,0.082741,
0.488163,0.511837,
0.888730,0.111270,
0.946471,0.053529,
0.977467,0.022533,
0.969109,0.030891,
0.857821,0.142179,
0.888978,0.111022,
0.960982,0.039018,
0.984500,0.015500,
0.940999,0.059001,
0.577986,0.422014,
0.939511,0.060489,
0.531708,0.468292,
0.895391,0.104609,
0.950930,0.049070,
0.976306,0.023694,
0.548161,0.451839,
0.937444,0.062556,
0.728880,0.271120,
0.942242,0.057758,
0.702403,0.297597,
0.972883,0.027117,
0.955241,0.044759,
0.959817,0.040183,
0.960224,0.039776,
0.829262,0.170738,
0.955241,0.044759,
0.963297,0.036703,
0.972653,0.027347,
0.947273,0.052727,
0.894258,0.105742,
0.956246,0.043754,
0.957042,0.042958,
0.969095,0.030905,
0.961711,0.038289,
0.989496,0.010504,
0.856789,0.143211,
0.947536,0.052464,
0.735279,0.264721,
0.978566,0.021434,
0.911886,0.088114,
0.959175,0.040825,
0.912641,0.087359,
0.976389,0.023611,
0.965506,0.034494,
0.944206,0.055794,
0.977240,0.022760,
0.827852,0.172148,
0.934732,0.065268,
0.967147,0.032853,
0.968618,0.031382,
0.979613,0.020387,
0.988095,0.011905,
0.802667,0.197333,
0.949474,0.050526,
0.949381,0.050619,
0.960117,0.039883,
0.976779,0.023221,
0.958685,0.041315,
0.959272,0.040728,
0.946074,0.053926,
0.978189,0.021811,
0.051163,0.948837,
0.976548,0.023452,
0.958947,0.041053,
0.948490,0.051510,
0.987628,0.012372,
0.964670,0.035330,
0.976241,0.023759,
0.947475,0.052525,
0.927728,0.072272,
0.979462,0.020538,
0.933253,0.066747,
0.990096,0.009904,
0.100828,0.899172,
0.967734,0.032266,
0.801210,0.198790,
0.865449,0.134551,
0.753370,0.246630,
0.965505,0.034495,
0.987216,0.012784,
0.936667,0.063333,
0.936168,0.063832,
0.974571,0.025429,
0.966034,0.033966,
0.919002,0.080998,
0.805931,0.194069,
0.861864,0.138136,
0.977808,0.022192,
0.962201,0.037799,
0.967573,0.032427,
0.954668,0.045332,
0.951777,0.048223,
0.955313,0.044687,
0.955097,0.044903,
0.920814,0.079186,
0.968373,0.031627,
0.982538,0.017462,
0.941166,0.058834,
0.916823,0.083177,
0.910333,0.089667,
0.883562,0.116438,
0.946684,0.053316,
0.944214,0.055786,
0.020141,0.979859,
0.340583,0.659417,
0.977642,0.022358,
0.902834,0.097166,
0.964379,0.035621,
0.921509,0.078491,
0.971651,0.028349,
0.982928,0.017072,
0.780833,0.219167,
0.973628,0.026372,
0.929438,0.070562,
0.973393,0.026607,
0.940651,0.059349,
0.956057,0.043943,
0.975963,0.024037,
0.957777,0.042223,
0.958697,0.041303,
0.192547,0.807453,
0.984132,0.015868,
0.972717,0.027283,
0.949703,0.050297,
0.948960,0.051040,
0.954241,0.045759,
0.977199,0.022801,
0.981881,0.018119,
0.957867,0.042133,
0.730202,0.269798,
0.952253,0.047747,
0.920779,0.079221,
0.983789,0.016211,
0.795968,0.204032,
0.973820,0.026180,
0.942806,0.057194,
0.943986,0.056014,
0.950278,0.049722,
0.919518,0.080482,
0.936110,0.063890,
0.928846,0.071154,
0.954406,0.045594,
0.926747,0.073253,
0.667255,0.332745,
0.937038,0.062962,
0.137660,0.862340,
0.936758,0.063242,
0.088133,0.911867,
0.969641,0.030359,
0.892558,0.107442,
0.910683,0.089317,
0.922010,0.077990,
0.936883,0.063117,
0.964197,0.035803,
0.957866,0.042134,
0.978136,0.021864,
0.980063,0.019937,
0.931270,0.068730,
0.979633,0.020367,
0.823278,0.176722,
0.731099,0.268901,
0.969056,0.030944,
0.945001,0.054999,
0.957956,0.042044,
0.912778,0.087222,
0.967836,0.032164,
0.168059,0.831941,
0.978377,0.021623,
0.965071,0.034929,
0.953217,0.046783,
0.988092,0.011908,
0.941883,0.058117,
0.536204,0.463796,
0.973174,0.026826,
0.973388,0.026612,
0.967653,0.032347,
0.791931,0.208069,
0.950878,0.049122,
0.955355,0.044645,
0.941525,0.058475,
0.973447,0.026553,
0.823804,0.176196,
0.959357,0.040643,
0.940627,0.059373,
0.771446,0.228554,
0.982917,0.017083,
0.983107,0.016893,
0.962294,0.037706,
0.941285,0.058715,
0.970859,0.029141,
0.073476,0.926524,
0.911425,0.088575,
0.934309,0.065691,
0.919566,0.080434,
0.963306,0.036694,
0.934943,0.065057,
0.937652,0.062348,
0.772132,0.227868,
0.958619,0.041381,
0.986530,0.013470,
0.960168,0.039832,
0.951891,0.048109,
0.930341,0.069659,
0.967676,0.032324,
0.971658,0.028342,
0.969510,0.030490,
0.987057,0.012943,
0.952407,0.047593,
0.986438,0.013562,
0.803664,0.196336,
0.523359,0.476641,
0.972086,0.027914,
0.515142,0.484858,
0.953706,0.046294,
0.939905,0.060095,
0.971075,0.028925,
0.931364,0.068636,
0.973692,0.026308,
0.064660,0.935340,
0.930539,0.069461,
0.913020,0.086980,
0.961496,0.038504,
0.952428,0.047572,
0.939610,0.060390,
0.387660,0.612340,
0.899403,0.100597,
0.910494,0.089506,
0.943250,0.056750,
0.973933,0.026067,
0.629155,0.370845,
0.977762,0.022238,
0.960308,0.039692,
0.941012,0.058988,
0.380555,0.619445,
0.968288,0.031712,
0.976876,0.023124,
0.978144,0.021856,
0.927428,0.072572,
0.972413,0.027587,
0.958562,0.041438,
0.960783,0.039217,
0.975531,0.024469,
0.955670,0.044330,
0.962416,0.037584,
0.577083,0.422917,
0.951629,0.048371,
0.952969,0.047031,
0.957255,0.042745,
0.958600,0.041400,
0.978131,0.021869,
0.975356,0.024644,
0.938525,0.061475,
0.959836,0.040164,
0.893401,0.106599,
0.961320,0.038680,
0.984416,0.015584,
0.941696,0.058304,
0.977772,0.022228,
0.959910,0.040090,
0.948473,0.051527,
0.924733,0.075267,
0.917599,0.082401,
0.967968,0.032032,
0.656365,0.343635,
0.953441,0.046559,
0.917757,0.082243,
0.175314,0.824686,
0.922651,0.077349,
0.814442,0.185558,
0.965527,0.034473,
0.694968,0.305032,
0.752373,0.247627,
0.910595,0.089405,
0.966632,0.033368,
0.898443,0.101557,
0.959067,0.040933,
0.880614,0.119386,
0.697804,0.302196,
0.937121,0.062879,
0.926018,0.073982,
0.941077,0.058923,
0.927816,0.072184,
0.297205,0.702795,
0.940739,0.059261,
0.917223,0.082777,
0.916900,0.083100,
0.939613,0.060387,
0.937804,0.062196,
0.940056,0.059944,
0.922273,0.077727,
0.938419,0.061581,
0.961570,0.038430,
0.937403,0.062597,
0.958087,0.041913,
0.948893,0.051107,
0.965745,0.034255,
0.951460,0.048540,
0.956744,0.043256,
0.918796,0.081204,
0.934032,0.065968,
0.953654,0.046346,
0.963698,0.036302,
0.957778,0.042222,
0.887970,0.112030,
0.977671,0.022329,
0.954735,0.045265,
0.972796,0.027204,
0.849103,0.150897,
0.918672,0.081328,
0.945340,0.054660,
0.966339,0.033661,
0.959844,0.040156,
0.982072,0.017928,
0.929579,0.070421,
0.939601,0.060399,
0.908996,0.091004,
0.972680,0.027320,
0.958136,0.041864,
0.969478,0.030522,
0.628092,0.371908,
0.951587,0.048413,
0.982142,0.017858,
0.973064,0.026936,
0.911381,0.088619,
0.238312,0.761688,
0.912824,0.087176,
0.629601,0.370399,
0.889562,0.110438,
0.936632,0.063368,
0.112938,0.887062,
0.239776,0.760224,
0.945062,0.054938,
0.975272,0.024728,
0.571776,0.428224,
0.955833,0.044167,
0.928344,0.071656,
0.863889,0.136111,
0.955698,0.044302,
0.942872,0.057128,
0.969956,0.030044,
0.955796,0.044204,
0.954078,0.045922,
0.959952,0.040048,
0.921495,0.078505,
0.171857,0.828143,
0.715765,0.284235,
0.908327,0.091673,
0.923511,0.076489,
0.939133,0.060867,
0.859837,0.140163,
0.778643,0.221357,
0.901464,0.098536,
0.829244,0.170756,
0.928921,0.071079,
0.968913,0.031087,
0.926126,0.073874,
0.952733,0.047267,
0.914059,0.085941,
0.975593,0.024407,
0.957814,0.042186,
0.980799,0.019201,
0.935529,0.064471,
0.966384,0.033616,
0.976076,0.023924,
0.977340,0.022660,
0.944283,0.055717,
0.835788,0.164212,
0.945063,0.054937,
0.949374,0.050626,
0.967427,0.032573,
0.706285,0.293715,
0.938930,0.061070,
0.970711,0.029289,
0.973388,0.026612,
0.915496,0.084504,
0.978837,0.021163,
0.966215,0.033785,
0.962934,0.037066,
0.957440,0.042560,
0.414077,0.585923,
0.957093,0.042907,
0.957390,0.042610,
0.958672,0.041328,
0.957329,0.042671,
0.941777,0.058223,
0.901279,0.098721,
0.738881,0.261119,
0.732360,0.267640,
0.926206,0.073794,
0.985154,0.014846,
0.931466,0.068534,
0.979407,0.020593,
0.939330,0.060670,
0.954621,0.045379,
0.980429,0.019571,
0.758413,0.241587,
0.970918,0.029082,
0.984465,0.015535,
0.977668,0.022332,
0.910018,0.089982,
0.979793,0.020207,
0.510121,0.489879,
0.970009,0.029991,
0.944039,0.055961,
0.968619,0.031381,
0.906095,0.093905,
0.955827,0.044173,
0.928075,0.071925,
0.785711,0.214289,
0.952817,0.047183,
0.961662,0.038338,
0.332786,0.667214,
0.970158,0.029842,
0.943188,0.056812,
0.789396,0.210604,
0.958356,0.041644,
0.972082,0.027918,
0.950976,0.049024,
0.954993,0.045007,
0.977906,0.022094,
0.938062,0.061938,
0.908861,0.091139,
0.914366,0.085634,
0.940460,0.059540,
0.931754,0.068246,
0.944756,0.055244,
0.966098,0.033902,
0.927892,0.072108,
0.515510,0.484490,
0.975754,0.024246,
0.962515,0.037485,
0.976512,0.023488,
0.983838,0.016162,
0.937158,0.062842,
0.952685,0.047315,
0.938281,0.061719,
0.395458,0.604542,
0.965579,0.034421,
0.965068,0.034932,
0.518486,0.481514,
0.977202,0.022798,
0.966702,0.033298,
0.741107,0.258893,
0.185505,0.814495,
0.933679,0.066321,
0.352553,0.647447,
0.896987,0.103013,
0.885872,0.114128,
0.951587,0.048413,
0.879326,0.120674,
0.926288,0.073712,
0.982050,0.017950,
0.703539,0.296461,
0.954822,0.045178,
0.962042,0.037958,
0.963253,0.036747,
0.920122,0.079878,
0.965405,0.034595,
0.892569,0.107431,
0.956224,0.043776,
0.960914,0.039086,
0.935173,0.064827,
0.977974,0.022026,
0.744419,0.255581,
0.888986,0.111014,
0.928778,0.071222,
0.949664,0.050336,
0.938385,0.061615,
0.977843,0.022157,
0.713751,0.286249,
0.349966,0.650034,
0.925080,0.074920,
0.939778,0.060222,
0.945727,0.054273,
0.944000,0.056000,
0.628597,0.371403,
0.960746,0.039254,
0.922797,0.077203,
0.949611,0.050389,
0.923632,0.076368,
0.965479,0.034521,
0.922570,0.077430,
0.943743,0.056257,
0.949345,0.050655,
0.970985,0.029015,
0.968393,0.031607,
0.954726,0.045274,
0.961706,0.038294,
0.694918,0.305082,
0.750234,0.249766,
0.751440,0.248560,
0.883187,0.116813,
0.725293,0.274707,
0.450988,0.549012,
0.105036,0.894964,
0.163991,0.836009,
0.956496,0.043504,
0.931890,0.068110,
0.952393,0.047607,
0.730851,0.269149,
0.940022,0.059978,
0.920849,0.079151,
0.907820,0.092180,
0.148481,0.851519,
0.938978,0.061022,
0.903003,0.096997,
0.943927,0.056073,
0.982136,0.017864,
0.962537,0.037463,
0.936348,0.063652,
0.648388,0.351612,
0.947803,0.052197,
0.953296,0.046704,
0.944200,0.055800,
0.959445,0.040555,
0.961554,0.038446,
0.965260,0.034740,
0.988975,0.011025,
0.924743,0.075257,
0.598893,0.401107,
0.971798,0.028202,
0.846090,0.153910,
0.945668,0.054332,
0.962105,0.037895,
0.982156,0.017844,
0.954568,0.045432,
0.964690,0.035310,
0.943968,0.056032,
0.944066,0.055934,
0.770458,0.229542,
0.968438,0.031562,
0.860878,0.139122,
0.967874,0.032126,
0.981714,0.018286,
0.467079,0.532921,
0.913984,0.086016,
0.952142,0.047858,
0.956184,0.043816,
0.923264,0.076736,
0.496654,0.503346,
0.941262,0.058738,
0.128762,0.871238,
0.960822,0.039178,
0.966570,0.033430,
0.972831,0.027169,
0.930030,0.069970,
0.966152,0.033848,
0.981030,0.018970,
0.979066,0.020934,
0.942050,0.057950,
0.968253,0.031747,
0.894382,0.105618,
0.963052,0.036948,
0.920674,0.079326,
0.791493,0.208507,
0.919431,0.080569,
0.932966,0.067034,
0.749527,0.250473,
0.913743,0.086257,
0.956456,0.043544,
0.934313,0.065687,
0.968156,0.031844,
0.979542,0.020458,
0.944253,0.055747,
0.985045,0.014955,
0.944883,0.055117,
0.974363,0.025637,
0.944911,0.055089,
0.939834,0.060166,
0.966115,0.033885,
0.927816,0.072184,
0.142937,0.857063,
0.133947,0.866053,
0.938637,0.061363,
0.980152,0.019848,
0.972600,0.027400,
0.955582,0.044418,
0.949169,0.050831,
0.774628,0.225372,
0.933008,0.066992,
0.941410,0.058590,
0.967220,0.032780,
0.413627,0.586373,
0.838025,0.161975,
0.913252,0.086748,
0.871847,0.128153,
0.915589,0.084411,
0.903545,0.096455,
0.959984,0.040016,
0.977618,0.022382,
0.980271,0.019729,
0.857950,0.142050,
0.601321,0.398679,
0.981189,0.018811,
0.936562,0.063438,
0.968168,0.031832,
0.964790,0.035210,
0.932017,0.067983,
0.976408,0.023592,
0.956307,0.043693,
0.946988,0.053012,
0.920597,0.079403,
0.942851,0.057149,
0.164323,0.835677,
0.919160,0.080840,
0.978496,0.021504,
0.925410,0.074590,
0.953832,0.046168,
0.942422,0.057578,
0.925366,0.074634,
0.963959,0.036041,
0.974162,0.025838,
0.882662,0.117338,
0.965359,0.034641,
